orig_location,address_clean,latitude,longitude
16 W GRAND AVE,"16 W GRAND AVE Chicago, IL.",41.89171944,-87.62835585
1212 N WELLS ST,"1212 N WELLS ST Chicago, IL.",41.90425687,-87.63457155
1306 N DEARBORN PKWY,"1306 N DEARBORN PKWY Chicago, IL.",41.90601377,-87.63012651
1111 N WELLS ST,"1111 N WELLS ST Chicago, IL.",41.90283041,-87.63436297
162 W KINZIE ST,"162 W KINZIE ST Chicago, IL.",41.88925253,-87.6319005
160 W KINZIE ST,"160 W KINZIE ST Chicago, IL.",41.88925299,-87.6318759
802 N DEARBORN ST,"802 N DEARBORN ST Chicago, IL.",41.89673929,-87.62985372
111 W KINZIE ST,"111 W KINZIE ST Chicago, IL.",41.88914099,-87.63173672
1239 N BURLING ST,"1239 N BURLING ST Chicago, IL.",41.90417955,-87.6478491
9 W KINZIE ST,"9 W KINZIE ST Chicago, IL.",41.88919106,-87.62842902
1309 W CHICAGO AVE,"1309 W CHICAGO AVE Chicago, IL.",41.89613185,-87.66003521
1232 W HUBBARD ST,"1232 W HUBBARD ST Chicago, IL.",41.89003113,-87.65857559
11 W GRAND AVE,"11 W GRAND AVE Chicago, IL.",41.89160389,-87.62848645
108 W KINZIE ST,"108 W KINZIE ST Chicago, IL.",41.88926639,-87.63123745
1448 N HALSTED ST,"1448 N HALSTED ST Chicago, IL.",41.90769567,-87.64826984
1503 N HALSTED ST,"1503 N HALSTED ST Chicago, IL.",41.91007889,-87.64817411
739 N CLARK ST,"739 N CLARK ST Chicago, IL.",41.89579447,-87.63114782
548 N CLARK ST,"548 N CLARK ST Chicago, IL.",41.89179078,-87.63120834
519 N CLARK ST,"519 N CLARK ST Chicago, IL.",41.89133334,-87.63104041
413 N CLARK ST,"413 N CLARK ST Chicago, IL.",41.88967722,-87.63099685
353 N CLARK ST,"353 N CLARK ST Chicago, IL.",41.88854722,-87.63096878
501 N DEARBORN ST,"501 N DEARBORN ST Chicago, IL.",41.89089261,-87.62955289
672 N DEARBORN ST,"672 N DEARBORN ST Chicago, IL.",41.89435209,-87.62980054
706 N DEARBORN ST,"706 N DEARBORN ST Chicago, IL.",41.89505937,-87.62981115
710 N DEARBORN ST,"710 N DEARBORN ST Chicago, IL.",41.89515742,-87.6298159
822 N DEARBORN ST,"822 N DEARBORN ST Chicago, IL.",41.89698602,-87.62985659
852 N DEARBORN ST,"852 N DEARBORN ST Chicago, IL.",41.89735888,-87.62987058
1251 N WELLS ST,"1251 N WELLS ST Chicago, IL.",41.90441305,-87.63442288
1207 N WELLS ST,"1207 N WELLS ST Chicago, IL.",41.90397584,-87.63440717
1001 N DEARBORN ST,"1001 N DEARBORN ST Chicago, IL.",41.90063089,-87.62981427
1015 N DEARBORN ST,"1015 N DEARBORN ST Chicago, IL.",41.90079965,-87.62982009
1023 N DEARBORN ST,"1023 N DEARBORN ST Chicago, IL.",41.90089463,-87.62982127
1239 N DEARBORN PKWY,"1239 N DEARBORN PKWY Chicago, IL.",41.9046636,-87.62993048
124 W KINZIE ST,"124 W KINZIE ST Chicago, IL.",41.88926135,-87.63143316
1538 N CLYBOURN AVE,"1538 N CLYBOURN AVE Chicago, IL.",41.90956312,-87.64774894
1559 N WELLS ST,"1559 N WELLS ST Chicago, IL.",41.91037482,-87.63460629
658 N WELLS ST ,"658 N WELLS ST  Chicago, IL.",41.89408186,-87.63421235
1418 N CLARK ST,"1418 N CLARK ST Chicago, IL.",41.90833648,-87.63165903
889 N CLARK ST,"889 N CLARK ST Chicago, IL.",41.89779107,-87.63119675
